date,strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,lot_size,units,entry_date,exit_date,entry_price,settle_used,settle_prev_used,mtm_pnl,gap_risk_pnl_proxy,gap_method,price_method,rate_91d,rate_182d,rate_364d,vix_close,contracts,open_int,chg_in_oi
2025-02-03,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,36.5,97.15,4548.75,7286.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0666,0.0653099999999999,14.35,969345.0,4104525.0,874275.0
2025-02-04,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,CE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,470.3,486.25,295.8,-14283.75,21442.49999999989,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0654,0.0665,0.0650999999999999,14.02,97870.0,3503400.0,-732750.0
2025-02-04,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23500.0,PE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,348.15,200.8,350.5,11227.5,26287.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0654,0.0665,0.0650999999999999,14.02,106699.0,4580100.0,269400.0
2025-02-04,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,607.3,323.95,-21251.249999999996,-6446.25000000011,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0654,0.0665,0.0650999999999999,14.02,16832.0,724350.0,-92400.0
2025-02-04,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,6.35,36.5,2261.25,2737.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0654,0.0665,0.0650999999999999,14.02,1105861.0,5001150.0,896625.0
2025-02-05,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,CE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,470.3,468.95,486.25,1297.500000000001,13837.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0648,0.0661,0.06616,14.08,24612.0,3250275.0,-253125.0
2025-02-05,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23500.0,PE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,348.15,195.85,200.8,371.25000000000125,15060.0,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0648,0.0661,0.06616,14.08,43088.0,4402275.0,-177825.0
2025-02-05,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,580.85,607.3,1983.749999999995,-7083.750000000004,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0648,0.0661,0.06616,14.08,1254.0,715800.0,-8550.0
2025-02-05,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,2.9,6.35,258.75,476.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0648,0.0661,0.06616,14.08,807755.0,7113825.0,2112675.0
2025-02-06,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,CE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,470.3,411.35,468.95,4319.999999999997,15524.999999999945,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0645,0.0657,0.06522,14.18,27438.0,3311925.0,61650.0
2025-02-06,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23500.0,PE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,348.15,220.55,195.85,-1852.5000000000014,14688.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0645,0.0657,0.06522,14.18,44740.0,4509675.0,107400.0
2025-02-06,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,503.34999999999854,580.85,5812.500000000111,-6082.500000000053,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0645,0.0657,0.06522,14.18,2742.0,709875.0,-5925.0
